the  #1  art. 这；那 adv. 更加（用于比较级，最高级前）
colorful  #4506  adj. 华美的；有趣的；富有色彩的
ideal  #4507  adj. 理想的；完美的；想象的；不切实际的 n. 理想；典范
constitution  #4508  n. 宪法；体制；章程；构造；建立，组成；体格
trainer  #4509  n. 助理教练；训练员；驯马师；飞行练习器；运动鞋 n. (Trainer)人名；(英、德)特雷纳
Thanksgiving  #4510  n. 感恩节
scent  #4511  n. 气味；嗅觉；痕迹；察觉能力 vt. 闻到；发觉；使充满…的气味；循着遗臭追踪 vi. 发出…的气味；有…的迹象；嗅着气味追赶 n. (Scent)人名；(英)森特
stack  #4512  n. 堆；堆叠；大量；烟囱；堆栈 vt. 使堆叠；把…堆积起来；令飞机分层盘旋等待着陆；洗牌作弊 vi. 堆积，堆叠；跌倒 n. (Stack) 斯塔克（姓氏）
eyebrow  #4513  n. 眉毛 v. 为…描眉；用皱眉蹙额迫使
sack  #4514  n. 麻布袋；洗劫 vt. 解雇；把……装入袋；劫掠 n. (Sack)人名；(英、法、葡、瑞典)萨克；(德)扎克
cease  #4515  vi. 停止；终了 vt. 停止；结束 n. 停止
inherit  #4516  vt. 继承；遗传而得 vi. 成为继承人
tray  #4517  n. 托盘；文件盒；隔底匣；（无线电的）发射箱
pioneer  #4518  n. 先锋；拓荒者 vt. 开辟；倡导；提倡 vi. 作先驱
organizational  #4519  adj. 组织的；编制的
textbook  #4520  n. 教科书，课本
uh  #4521  int. 嗯啊 abbr. 上半部分（upper half） n. (Uh)人名；(挪)乌赫
nasty  #4522  adj. 下流的；肮脏的；脾气不好的；险恶的 n. 令人不快的事物 性的吸引力
shrink  #4523  n. 收缩；畏缩；精神病学家 vt. 使缩小，使收缩 vi. 收缩；畏缩
model  #4524  n. 模型；典型；模范；模特儿；样式 vt. 模拟；塑造；模仿 vi. 做模型；做模特儿 adj. 模范的；作模型用的 n. (Model)人名；(德、俄、英)莫德尔
emerging  #4525  adj. 新兴的；出现的；形成的 v. 形成；浮现；显露（emerge的ing形式）；由…中脱出
dot  #4526  n. 点，圆点；嫁妆 vi. 打上点 vt. 加小点于 n. (Dot)人名；(中)多(广东话·威妥玛)；(英)多特(女子教名 Dorothea 和 Dorothy 的昵称)；(越)突
wheat  #4527  n. 小麦；小麦色 n. (Wheat)人名；(英)惠特
fierce  #4528  adj. 凶猛的；猛烈的；暴躁的 n. (Fierce)人名；(英)菲尔斯
envision  #4529  vt. 想象；预想
rational  #4530  adj. 合理的；理性的 n. 有理数
kingdom  #4531  n. 王国；界；领域 n. (Kingdom)人名；(英)金德姆
aisle  #4532  n. 通道，走道；侧廊
weaken  #4533  vt. 减少；使变弱；使变淡 vi. 变弱；畏缩；变软弱
protocol  #4534  n. 协议；草案；礼仪 vt. 拟定 vi. 拟定
exclusively  #4535  adv. 唯一地；专有地；排外地
vocal  #4536  adj. 歌唱的；声音的，有声的 adj. 直言不讳的 n. 声乐作品；元音 n. Vocal)人名；(西)博卡尔
marketplace  #4537  n. 市场；商场；市集
openly  #4538  adv. 公开地；公然地；坦率地
unfair  #4539  adj. 不公平的，不公正的
terrain  #4540  n. [地理] 地形，地势；领域；地带
deploy  #4541  vt. 配置；展开；使疏开 vi. 部署；展开 n. 部署
risky  #4542  adj. 危险的；冒险的；（作品等）有伤风化的
pasta  #4543  n. 意大利面食；面团 n. (Pasta)人名；(英、意)帕斯塔
genre  #4544  n. 类型；种类；体裁；样式；流派；风俗画 (Genre)人名；(法)让尔 adj. 风俗画的；以日常情景为主题的
distract  #4545  vt. 转移；分心
merit  #4546  n. 优点，价值；功绩；功过 vt. 值得 vi. 应受报答
planner  #4547  n. 计划者，规划师 n. (Planner)人名；(德、捷)普兰纳
depressed  #4548  adj. 沮丧的；萧条的；压低的 v. 使沮丧；使萧条（depress的过去式和过去分词形式）；压低
chunk  #4549  n. 大块；矮胖的人或物
closest  #4550  adj. 最靠近的（close的最高级）
discount  #4551  n. 折扣；贴现率 vi. 贴现；打折扣出售商品 vt. 打折扣；将…贴现；贬损；低估；忽视
no  #4552  adv. 不 adj. 没有；不是 n. 不；否决票 abbr. 数字（number）；元素锘（nobelium）的符号 n. (No)人名；(柬)诺；(越)努
ladder  #4553  n. 阶梯；途径；梯状物 vi. 成名；发迹 vt. 在……上装设梯子
jungle  #4554  n. 丛林，密林；危险地带 adj. 丛林的；蛮荒的
migration  #4555  n. 迁移；移民；移动
breathing  #4556  n. 呼吸；瞬间；微风 adj. 呼吸的；逼真的 v. 呼吸（breathe的现在分词）
invade  #4557  vt. 侵略；侵袭；侵扰；涌入 vi. 侵略；侵入；侵袭；侵犯
hurricane  #4558  n. 飓风，暴风
retailer  #4559  n. 零售商；传播的人
classify  #4560  vt. 分类；分等
wound  #4561  n. 创伤，伤口 vt. 使受伤 vi. 受伤，伤害
coup  #4562  n. 政变；妙计；出乎意料的行动；砰然的一击 vt. 使…颠倒；使…倾斜 vi. 推倒；倾斜；溢出 n. (Coup)人名；(法)库普
aid  #4563  n. 援助；帮助；助手；帮助者 vt. 援助；帮助；有助于 vi. 帮助 n. (Aid)人名；(阿拉伯、印、英)艾德
ambassador  #4564  n. 大使；代表；使节
density  #4565  n. 密度
supportive  #4566  adj. 支持的；支援的；赞助的
curiosity  #4567  n. 好奇，好奇心；珍品，古董，古玩
skip  #4568  vi. 跳跃；跳绳；遗漏；跳读 vt. 跳过；遗漏 n. 跳跃；跳读 n. (Skip)人名；(英)斯基普
aggression  #4569  n. 侵略；进攻；侵犯；侵害
stimulus  #4570  n. 刺激；激励；刺激物
journalism  #4571  n. 新闻业，新闻工作；报章杂志
robot  #4572  n. 机器人；遥控设备，自动机械；机械般工作的人
flood  #4573  vt. 淹没；充满；溢出 vi. 涌出；涌进；为水淹没 n. 洪水；泛滥；一大批 n. (Flood)人名；(英)弗勒德；(瑞典、芬)弗洛德
dip  #4574  vt. 浸，泡，蘸；舀取；把伸入 vi. 浸；下降，下沉；倾斜；舀，掏 n. 下沉，下降；倾斜；浸渍，蘸湿 n. (Dip)人名；(尼)迪普
likewise  #4575  adv. 同样地；也
informal  #4576  adj. 非正式的；不拘礼节的；随便的；通俗的；日常使用的
Persian  #4577  猫老大
feather  #4578  n. 羽毛 vt. 用羽毛装饰 vi. 长羽毛 n. (Feather)人名；(英)费瑟
sphere  #4579  n. 范围；球体 vt. 包围；放入球内；使…成球形 adj. 球体的
tighten  #4580  vt. 变紧；使变紧 vi. 绷紧；变紧
boast  #4581  vt. 夸口说，自吹自擂说；以有…而自豪 n. 自夸；值得夸耀的事物，引以为荣的事物 vi. 自吹自擂 n. (Boast)人名；(英)博斯特
pat  #4582  adj. 恰好的；熟练的；合适的 adv. 恰好；熟记地 n. 轻拍；小块；轻拍声 vt. 轻拍 vi. 轻拍 n. (Pat)人名；(泰)巴
perceived  #4583  v. 感知；认为（perceive的过去分词）；领会 adj. 感知到的；感观的
sole  #4584  n. 鞋底；脚底；基础；鳎目鱼 adj. 唯一的；单独的；仅有的 vt. 触底；上鞋底 n. (Sole)人名；(意、西、芬、塞、罗、南非)索莱
publicity  #4585  n. 宣传，宣扬；公开；广告；注意
major  #4586  adj. 主要的；重要的；主修的；较多的 n. [人类] 成年人；主修科目；陆军少校 vi. 主修 n. (Major)人名；(西)马霍尔；(法)马若尔；(捷、德、塞、瑞典)马约尔；(英)梅杰
unfold  #4587  vt. 打开；呈现 vi. 展开；显露
joke  #4588  n. 玩笑，笑话；笑柄 vt. 开…的玩笑 vi. 开玩笑 n. (Joke)人名；(英)乔克；(塞)约凯
well-being  #4589  n. 幸福；康乐
validity  #4590  n. [计] 有效性；正确；正确性
ecosystem  #4591  n. 生态系统
strictly  #4592  adv. 严格地；完全地；确实地
partial  #4593  adj. 局部的；偏爱的；不公平的
collar  #4594  n. 衣领；颈圈 vt. 抓住；给…上领子；给…套上颈圈 n. (Collar)人名；(法)科拉尔；(西)科利亚尔；(英)科勒
weed  #4595  vt. 除草；铲除 n. 杂草，野草；菸草 vi. 除草 n. (Weed)人名；(英)威德
compliance  #4596  n. 顺从，服从；承诺
streak  #4597  n. 条纹，线条；倾向 vi. 飞跑，疾驶；加上条纹 vt. 飞跑，疾驰；加条纹于
supposedly  #4598  adv. 可能；按照推测；恐怕
added  #4599  adj. 更多的；额外的 v. 增加（add的过去分词）
builder  #4600  n. 建筑者；建立者
glimpse  #4601  n. 一瞥，一看 vi. 瞥见 vt. 瞥见
premise  #4602  vt. 引出，预先提出；作为…的前提 n. 前提；上述各项；房屋连地基 vi. 作出前提
specialty  #4603  n. 专业，专长；特产；特性；招牌菜 adj. 特色的；专门的；独立的
deem  #4604  vt. 认为，视作；相信 vi. 认为，持某种看法；作某种评价 n. (Deem)人名；(英)迪姆
artifact  #4605  n. 人工制品；手工艺品
sneak  #4606  vi. 溜；鬼鬼祟祟做事；向老师打小报告 vt. 偷偷地做；偷偷取得 n. 鬼鬼祟祟的人；偷偷摸摸的行为；告密者 adj. 暗中进行的
monkey  #4607  n. 猴子；顽童 vi. 胡闹；捣蛋 vt. 嘲弄
mentor  #4608  n. 指导者，良师益友 vt. 指导
two-thirds  #4609  n. 三分之二 三分之二的 三分之二地
listener  #4610  n. 听众 倾听者
lightning  #4611  adj. 闪电的；快速的 n. 闪电 vi. 闪电
legally  #4612  adv. 合法地；法律上
sleeve  #4613  n. [机] 套筒，[机] 套管；袖子，[服装] 袖套 vt. 给……装袖子；给……装套筒
disappointment  #4614  n. 失望；沮丧
disturb  #4615  vt. 打扰；妨碍；使不安；弄乱；使恼怒 vi. 打扰；妨碍
rib  #4616  n. 肋骨；排骨；肋状物 vt. 戏弄；装肋于
excessive  #4617  adj. 过多的，极度的；过分的
high-tech  #4618  adj. 高科技的，高技术的；仿真技术的 n. 高科技
debris  #4619  n. 碎片，残骸 n. (Debris)人名；(法)德布里
pile  #4620  n. 堆；大量；建筑群 vt. 累积；打桩于 vi. 挤；堆积；积累 n. (Pile)人名；(西)皮莱；(英)派尔
rod  #4621  n. 棒；惩罚；枝条；权力 n. (Rod)人名；(英、法、德、捷、希)罗德；(阿拉伯)鲁德；(老)罗
logical  #4622  adj. 合逻辑的，合理的；逻辑学的
liberal  #4623  adj. 自由主义的；慷慨的；不拘泥的；宽大的 n. 自由主义者 n. (Liberal)人名；(葡)利贝拉尔
ash  #4624  n. 灰；灰烬 n. (Ash)人名；(英、俄、捷)阿什
socially  #4625  adv. 在社会上；在社交方面；善于交际地
parish  #4626  n. 教区 地方行政区
slavery  #4627  n. 奴役；奴隶制度；奴隶身份
blank  #4628  adj. 空白的；空虚的；单调的 n. 空白；空虚；空白表格 vt. 使…无效；使…模糊；封锁 vi. 消失；成为空白 n. (Blank)人名；(法)布朗克；(英、德、西、俄、罗、捷、瑞典、芬)布兰克
commodity  #4629  n. 商品，货物；日用品
cure  #4630  vt. 治疗；治愈；使硫化；加工处理 vi. 治病；痊愈；受治疗；被硫化；被加工处理 n. 治疗；治愈；[临床] 疗法 n. (Cure)人名；(罗)库雷；(法)屈尔；(英)丘尔；(塞)楚雷
mineral  #4631  n. 矿物；（英）矿泉水；无机物；苏打水（常用复数表示） adj. 矿物的；矿质的
hunger  #4632  n. 饿，饥饿；渴望 vi. 渴望；挨饿 vt. 使……挨饿 n. (Hunger)人名；(德、波)洪格尔；(英)亨格
dying  #4633  adj. 临终的，垂死的 n. 死，死亡 v. 死，死亡；枯萎；失去活力（die的ing形式）
developmental  #4634  adj. 发展的；启发的
faster  #4635  adj. 更快的 adv. 更快地 n. (Faster)人名；(德、捷)法斯特
spare  #4636  vt. 节约，吝惜；饶恕；分出，分让 vi. 饶恕，宽恕；节约 adj. 多余的；瘦的；少量的 n. 剩余；备用零件
halfway  #4637  adv. 到一半；在中途 adj. 中途的；不彻底的
cure  #4638  vt. 治疗；治愈；使硫化；加工处理 vi. 治病；痊愈；受治疗；被硫化；被加工处理 n. 治疗；治愈；[临床] 疗法 n. (Cure)人名；(罗)库雷；(法)屈尔；(英)丘尔；(塞)楚雷
equality  #4639  n. 平等；相等；[数] 等式
cemetery  #4640  n. 墓地；公墓
harassment  #4641  n. 骚扰；烦恼
deliberately  #4642  adv. 故意地；谨慎地；慎重地
fame  #4643  n. 名声，名望；传闻，传说 vt. 使闻名，使有名望
regret  #4644  n. 遗憾；抱歉；悲叹 vt. 后悔；惋惜；哀悼 vi. 感到后悔；感到抱歉
striking  #4645  adj. 显著的，突出的，惊人的；打击的；罢工的 v. 打（strike的ing形式）
likelihood  #4646  n. 可能性，可能
carrot  #4647  n. 胡萝卜 诱饵
atop  #4648  prep. 在…的顶上 adv. 在顶上
toll  #4649  n. 通行费；代价；钟声；伤亡人数 vt. 征收；敲钟 vi. 鸣钟；征税
rim  #4650  n. 边，边缘；轮辋；圆圈 vi. 作…的边，装边于 vt. 作…的边，装边于 n. (Rim)人名；(俄)里姆
embarrassed  #4651  adj. 尴尬的；窘迫的 v. 使...困窘；使...局促不安（embarrass的过去分词形式）
fucking  #4652  adj. 他妈的；难完成的；非常的；低劣的 v. 欺骗；利用；诅咒（fuck的ing形式）
cling  #4653  vi. 坚持，墨守；紧贴；附着
isolated  #4654  adj. 孤立的；分离的；单独的；[电] 绝缘的 v. 使孤立；使绝缘；脱离（isolate的过去分词）
blink  #4655  vt. 眨眼；使…闪烁 vi. 眨眼；闪烁 n. 眨眼；瞬间；闪光 n. (Blink)人名；(德)布林克
suspicious  #4656  adj. 可疑的；怀疑的；多疑的
wheelchair  #4657  n. 轮椅
squad  #4658  n. 班；小队；五人组（篮球队的非正式说法） vt. 把…编成班；把…编入班
eligible  #4659  adj. 合格的，合适的；符合条件的；有资格当选的 n. 合格者；适任者；有资格者
processor  #4660  n. [计] 处理器；处理程序；加工者
plunge  #4661  n. 投入；跳进 vi. 突然地下降；投入；陷入；跳进 vt. 使陷入；使投入；使插入
this  #4662  pron. 这；这个；这里 adj. 这；本；这个；今 adv. 这样地；这么 n. (This)人名；(法)蒂斯
sponsor  #4663  n. 赞助者；主办者；保证人 vt. 赞助；发起
grin  #4664  v. 露齿而笑，咧着嘴笑 n. 露齿笑 n. (Grin)人名；(法)格兰；(俄、罗、英)格林
color  #4665  n. 颜色；肤色；颜料；脸色 vt. 粉饰；给...涂颜色；歪曲 vi. 变色；获得颜色
demographic  #4666  adj. 人口统计学的；人口学的
rain  #4667  n. 雨；下雨；雨天；雨季 vi. 下雨；降雨 vt. 大量地给；使大量落下 n. (Rain)人名；(法)兰；(英)雷恩；(罗、捷)赖恩
chill  #4668  n. 寒冷；寒意；寒心 adj. 寒冷的；冷漠的；扫兴的 vt. 冷冻，冷藏；使寒心；使感到冷 vi. 冷藏；变冷
refuge  #4669  n. 避难；避难所；庇护 vt. 给予…庇护；接纳…避难 vi. 避难；逃避
steer  #4670  vt. 控制，引导；驾驶 vi. 驾驶，掌舵；行驶 n. 阉牛 n. (Steer)人名；(英)斯蒂尔；(德、匈)施特尔
legislator  #4671  n. 立法者
rally  #4672  vi. 团结；重整；恢复；（网球等）连续对打 vt. 团结；集合；恢复健康、力量等 n. 集会；回复；公路赛车会 n. (Rally)人名；(罗)拉利
programming  #4673  n. 设计，规划；编制程序，[计] 程序编制
cheer  #4674  vt. 欢呼；使高兴；为…加油 n. 欢呼；愉快；心情；令人愉快的事 vi. 欢呼；感到高兴
outlet  #4675  n. 出口，排放孔；[电] 电源插座；销路；发泄的方法；批发商店
intact  #4676  adj. 完整的；原封不动的；未受损伤的
vendor  #4677  n. 卖主；小贩；供应商；[贸易] 自动售货机
thrive  #4678  vi. 繁荣，兴旺；茁壮成长
peanut  #4679  n. 花生
chew  #4680  n. 咀嚼；咀嚼物 vt. 嚼碎，咀嚼 vi. 细想，深思 n. (Chew)人名；(英)丘
elaborate  #4681  adj. 精心制作的；详尽的；煞费苦心的 vt. 精心制作；详细阐述；从简单成分合成（复杂有机物） vi. 详细描述；变复杂
intellectual  #4682  adj. 智力的；聪明的；理智的 n. 知识分子；凭理智做事者
conception  #4683  n. 怀孕；概念；设想；开始
auction  #4684  vt. 拍卖；竞卖 n. 拍卖
steak  #4685  n. 牛排；肉排；鱼排
comply  #4686  vi. 遵守；顺从，遵从；答应
triumph  #4687  n. 胜利，凯旋；欢欣 vi. 获得胜利，成功
shareholder  #4688  n. 股东；股票持有人
comparable  #4689  adj. 可比较的；比得上的
transport  #4690  n. 运输；运输机；狂喜；流放犯 vt. 运输；流放；使狂喜
conscience  #4691  n. 道德心，良心 n. (Conscience)人名；(法)孔西延斯
calculation  #4692  n. 计算；估计；计算的结果；深思熟虑
considerably  #4693  adv. 相当地；非常地
interval  #4694  n. 间隔；间距；幕间休息
scratch  #4695  n. 擦伤；抓痕；刮擦声；乱写 adj. 打草稿用的；凑合的；碰巧的 vt. 抓；刮；挖出；乱涂 vi. 抓；搔；发刮擦声；勉强糊口；退出比赛
awake  #4696  vi. 觉醒，意识到；醒来；被唤起 vt. 唤醒；使觉醒；激起，唤起 adj. 醒着的
jurisdiction  #4697  n. 司法权，审判权，管辖权；权限，权力
inevitably  #4698  adv. 不可避免地；必然地
feminist  #4699  n. 女权主义者 adj. 主张女权的
constraint  #4700  n. [数] 约束；局促，态度不自然；强制
emotionally  #4701  adv. 感情上；情绪上；令人激动地；情绪冲动地
expedition  #4702  n. 远征；探险队；迅速
allegedly  #4703  adv. 依其申述；据说，据称
compromise  #4704  vt. 妥协；危害 vi. 妥协；让步 n. 妥协，和解；折中
strain  #4705  n. 张力；拉紧；负担；扭伤；血缘 vi. 拉紧；尽力 vt. 拉紧；滥用；滤去；竭力 n. (Strain)人名；(英)斯特兰 n. （植物、动物的）品种；种类
similarity  #4706  n. 类似；相似点
butt  #4707  n. 屁股；烟头；笑柄；靶垛；粗大的一端 vt. 以头抵撞；碰撞 n. (Butt)人名；(英)巴特；(俄、德、印、巴基)布特
lid  #4708  n. 盖子；眼睑；限制 vt. 给…盖盖子 n. (Lid)人名；(捷、挪)利德
dumb  #4709  adj. 哑的，无说话能力的；不说话的，无声音的
bulk  #4710  n. 体积，容量；大多数，大部分；大块 vt. 使扩大，使形成大量；使显得重要 n. (Bulk)人名；(土)布尔克
sprinkle  #4711  n. 撒，洒；少量 vt. 洒；微雨；散置 vi. 洒，撒；下稀疏小雨；喷撒
mortality  #4712  n. 死亡数，死亡率；必死性，必死的命运
philosophical  #4713  adj. 哲学的（等于philosophic）；冷静的
conversion  #4714  n. 转换；变换；[金融] 兑换；改变信仰
patron  #4715  n. 赞助人；保护人；主顾 n. (Patron)人名；(英)佩特伦；(法、意、罗)帕特龙
municipal  #4716  adj. 市政的，市的；地方自治的
any  #4717  adj. 任何的；所有的；丝毫 pron. 任何；任何一个；若干 adv. 稍微；少许 n. (Any)人名；(法、罗)阿尼
liver  #4718  n. 肝脏；生活者，居民
harmony  #4719  n. 协调；和睦；融洽；调和 n. (Harmony)人名；(英)哈莫尼
solely  #4720  adv. 单独地，唯一地
tolerance  #4721  n. 公差；宽容；容忍
instant  #4722  adj. 立即的；紧急的；紧迫的 n. 瞬间；立即；片刻
goat  #4723  n. 山羊；替罪羊（美俚）；色鬼（美俚）
arm  #4724  n. 手臂；武器；袖子；装备；部门 vi. 武装起来 vt. 武装；备战
blessing  #4725  n. 祝福；赐福；祷告 v. 使幸福（bless的ing形式）；使神圣化；为…祈神赐福 n. (Blessing)人名；(英、德)布莱辛
banana  #4726  n. 香蕉；喜剧演员；大鹰钩鼻 n. (Banana)人名；(葡、津)巴纳纳
running  #4727  n. 运转；赛跑；流出 adj. 连续的；流动的；跑着的；运转着的 v. 跑；运转（run的ing形式）；行驶 n. (Running)人名；(英)朗宁
palace  #4728  n. 宫殿；宅邸；豪华住宅
formerly  #4729  adv. 以前；原来
peasant  #4730  n. 农民；乡下人
neat  #4731  adj. 灵巧的；整洁的；优雅的；齐整的；未搀水的；平滑的
grandparent  #4732  n. 祖父母；祖父或祖母；外祖父母；外祖父或外祖母
lawmaker  #4733  n. 立法者
supermarket  #4734  n. 超级市场；自助售货商店
cruise  #4735  vi. 巡航，巡游；漫游 vt. 巡航，巡游；漫游 n. 巡航，巡游；乘船游览 n. (Cruise)人名；(德)克鲁伊泽；(英)克鲁斯
mobile  #4736  adj. 可移动的；机动的；易变的；非固定的 n. 移动电话
plain  #4737  adj. 平的；简单的；朴素的；清晰的 n. 平原；无格式；朴实无华的东西 adv. 清楚地；平易地 n. (Plain)人名；(英)普莱恩；(法)普兰
part  #4738  n. 部分；角色；零件；一些；片段 vt. 分离；分配；分开 vi. 断裂；分手 adv. 部分地 adj. 部分的 n. (Part)人名；(英、瑞典)帕特；(泰)巴；(法)帕尔
calendar  #4739  n. 日历；[天] 历法；日程表 vt. 将…列入表中；将…排入日程表
widow  #4740  vt. 使成寡妇 n. 寡妇；孀妇
deposit  #4741  n. 存款；押金；订金；保证金；沉淀物 vt. 使沉积；存放 vi. 沉淀
beard  #4742  vt. 公然反对；抓…的胡须 n. 胡须；颌毛 vi. 充当掩护；充当男随员 n. (Beard)人名；(英)比尔德
brake  #4743  vi. 刹车 n. 闸，刹车；阻碍 vt. 刹车 n. (Brake)人名；(英)布雷克；(德)布拉克
downtown  #4744  adv. 往闹市区；在市区 adj. 市中心的 n. 市中心区；三分线以外
screening  #4745  n. 筛选；放映；[物] 屏蔽；审查；防波 v. 筛选；拍摄（screen的ing形式）；遮蔽；隔挡 adj. 筛选的
impulse  #4746  n. 冲动；[电子] 脉冲；刺激；神经冲动；推动力 vt. 推动
forbid  #4747  vt. 禁止；不准；不允许；〈正式〉严禁
fur  #4748  n. 皮，皮子；毛皮；软毛 n. 水垢 vt. 用毛皮覆盖；使穿毛皮服装 n. (Fur)人名；(法)菲尔；(瑞典)富尔
brutal  #4749  adj. 残忍的；野蛮的，不讲理的
predator  #4750  n. [动] 捕食者；[动] 食肉动物；掠夺者
poke  #4751  vi. 刺，捅；戳；伸出；刺探；闲荡 vt. 刺，捅；戳；拨开 n. 戳；刺；袋子；懒汉
opt  #4752  vi. 选择
voluntary  #4753  adj. 自愿的；志愿的；自发的；故意的 n. 志愿者；自愿行动
trouble  #4754  n. 麻烦；烦恼；故障；动乱 vt. 麻烦；使烦恼；折磨 vi. 费心，烦恼
valid  #4755  adj. 有效的；有根据的；合法的；正当的
forum  #4756  n. 论坛，讨论会；法庭；公开讨论的广场
dancing  #4757  n. 跳舞；舞蹈 v. 跳舞；摇晃（dance的ing形式）
happily  #4758  adv. 快乐地；幸福地；幸运地；恰当地
soar  #4759  vi. 高飞；高耸；往上飞舞 n. 高飞；高涨 n. (Soar)人名；(英、葡)索尔
removal  #4760  n. 免职；移动；排除；搬迁
autonomy  #4761  n. 自治，自治权
enact  #4762  vt. 颁布；制定法律；扮演；发生
round  #4763  n. 圆；循环；一回合；圆形物 adj. 圆的；完全的；大概的；肥胖的 adv. 在周围；迂回地；朝反方向；挨个 vt. 完成；围捕；绕行；弄圆 vi. 进展；变圆；环行；发胖 prep. 附近；绕过；大约；在…周围 n. (Round)人名；(英)朗德
thread  #4764  n. 线；螺纹；思路；衣服；线状物；玻璃纤维；路线 vt. 穿过；穿线于；使交织 vi. 通过；穿透过
light  #4765  n. 光；光线；灯；打火机；领悟；浅色；天窗 adj. 轻的；浅色的；明亮的；轻松的；容易的；清淡的 vi. 点着；变亮；着火 vt. 照亮；点燃；着火 adv. 轻地；清楚地；轻便地 n. (Light)人名；(英)莱特
landmark  #4766  n. [航]陆标；地标；界标；里程碑；纪念碑；地界标；划时代的事 adj. 有重大意义或影响的 n. （瑞典、挪）兰德马克（人名）
unhappy  #4767  adj. 不快乐的；不幸福的；不适当的
offender  #4768  n. 罪犯；冒犯者；违法者
coming  #4769  adj. 即将到来的；接着的；前途有望的 n. 来到；到达 v. 来（come的ing形式）
privately  #4770  adv. 私下地；秘密地
fraction  #4771  n. 分数；部分；小部分；稍微
distinctive  #4772  adj. 有特色的，与众不同的
tourism  #4773  n. 旅游业；游览
threshold  #4774  n. 入口；门槛；开始；极限；临界值
calm  #4775  adj. 静的，平静的；沉着的 vt. 使平静；使镇定 vi. 平静下来；镇定下来 n. 风平浪静 n. (Calm)人名；(法、德)卡尔姆
routinely  #4776  adv. 例行公事地；老一套地
suite  #4777  n. （一套）家具；套房；组曲；（一批）随员，随从
remark  #4778  n. 注意；言辞 vt. 评论；觉察 vi. 谈论
regulator  #4779  n. 调整者；监管者；校准器
straw  #4780  n. 稻草；吸管；一文不值的东西 adj. 稻草的；无价值的 n. (Straw)人名；(英)斯特劳
theological  #4781  adj. 神学的，神学上的
apart  #4782  adv. 相距；与众不同地；分离着 adj. 分离的；与众不同的
exhaust  #4783  vt. 排出；耗尽；使精疲力尽；彻底探讨 vi. 排气 n. 排气；废气；排气装置
globe  #4784  n. 地球；地球仪；球体 vt. 使…成球形 vi. 成球状
fragile  #4785  adj. 脆的；易碎的
objection  #4786  n. 异议，反对；缺陷，缺点；妨碍；拒绝的理由
chemistry  #4787  n. 化学；化学过程
old-fashioned  #4788  adj. 老式的；过时的；守旧的
crowded  #4789  adj. 拥挤的；塞满的 v. 拥挤（crowd的过去分词）
circle  #4790  n. 循环，周期；圆；圈子；圆形物 vi. 盘旋，旋转；环行 vt. 画圆圈；环绕…移动
blast  #4791  n. 爆炸；冲击波；一阵 vi. 猛攻 vt. 爆炸；损害；使枯萎 n. (Blast)人名；(德)布拉斯特
prevail  #4792  vi. 盛行，流行；战胜，获胜
overnight  #4793  adv. 通宵；突然；昨晚 adj. 晚上的；通宵的；前夜的 n. 头天晚上；一夜的逗留 vt. 连夜快递 vi. 过一夜
denial  #4794  n. 否认；拒绝；节制；背弃
rental  #4795  n. 租金收入，租金；租赁 adj. 租赁的；收取租金的
fantastic  #4796  adj. 奇异的；空想的；异想天开的；古怪的；极好的，极出色的；不可思议的；不切实际的 n. 古怪的人
fragment  #4797  n. 碎片；片段或不完整部分 vt. 使成碎片 vi. 破碎或裂开
level  #4798  n. 水平；标准；水平面 adj. 水平的；平坦的；同高的 vi. 瞄准；拉平；变得平坦 vt. 使同等；对准；弄平 n. (Level)人名；(法)勒韦尔
screw  #4799  vt. 旋，拧；压榨；强迫 n. 螺旋；螺丝钉；吝啬鬼 vi. 转动，拧
warmth  #4800  n. 温暖；热情；激动
undergraduate  #4801  n. 大学生；大学肄业生 adj. 大学生的
liquid  #4802  adj. 液体的；清澈的；明亮的；易变的 n. 液体，流体；流音
headache  #4803  n. 头痛；麻烦；令人头痛之事
policeman  #4804  n. 警察，警员；[分化] 淀帚（橡皮头玻璃搅棒）
yield  #4805  vt. 屈服；出产，产生；放弃 vi. 屈服，投降 n. 产量；收益
projection  #4806  n. 投射；规划；突出；发射；推测
battle  #4807  n. 战役；斗争 vi. 斗争；作战 vt. 与…作战 n. (Battle)人名；(英)巴特尔；(法)巴特勒；(西)巴特莱
suitable  #4808  adj. 适当的；相配的
mention  #4809  vt. 提到，谈到；提及，论及；说起 n. 提及，说起 n. (Mention)人名；(法)芒雄
graduation  #4810  n. 毕业；毕业典礼；刻度，分度；分等级
drill  #4811  n. 训练；钻孔机；钻子；播种机；演习 vi. 钻孔；训练 vt. 钻孔；训练；条播 n. (Drill)人名；(德、英)德里尔
cruel  #4812  adj. 残酷的，残忍的；使人痛苦的，让人受难的；无情的，严酷的
mansion  #4813  n. 大厦；宅邸 n. (Mansion)人名；(法)芒雄
regard  #4814  n. 注意；尊重；问候；凝视 vt. 注重，考虑；看待；尊敬；把…看作；与…有关 vi. 注意，注重；注视 n. (Regard)人名；(西、意)雷加德；(法)勒加尔
grape  #4815  n. 葡萄；葡萄酒；葡萄树；葡萄色 n. (Grape)人名；(法)格拉普；(德、瑞典)格拉佩
authorize  #4816  vt. 批准，认可；授权给；委托代替
cottage  #4817  n. 小屋；村舍；（农舍式的）小别墅
